time,overall(hourly)
2018-11-13:19::00,29.04
2018-11-13:20::00,567.86
2018-11-13:21::00,577.09
2018-11-13:22::00,569.59
2018-11-13:23::00,567.47
2018-11-14:00::00,559.84
2018-11-14:01::00,564.04
2018-11-14:02::00,562.32
2018-11-14:03::00,547.29
2018-11-14:04::00,535.93
2018-11-14:05::00,554.05
2018-11-14:06::00,460.26
2018-11-14:07::00,477.48
2018-11-14:08::00,471.38
2018-11-14:09::00,525.61
2018-11-14:10::00,515.71
2018-11-14:11::00,499.41
2018-11-14:12::00,538.4
2018-11-14:13::00,569.45
2018-11-14:14::00,546.55
2018-11-14:15::00,541.78
2018-11-14:16::00,550.45
2018-11-14:17::00,541.46
2018-11-14:18::00,541.56
2018-11-14:19::00,549.64
2018-11-14:20::00,540.96
2018-11-14:21::00,540.38
2018-11-14:22::00,559.96
2018-11-14:23::00,546.32
2018-11-15:00::00,547.75
2018-11-15:01::00,563.71
2018-11-15:02::00,385.64
2018-11-15:03::00,393.77
2018-11-15:04::00,358.4
2018-11-15:05::00,21.07
2018-11-15:08::00,445.62
2018-11-15:09::00,533.64
2018-11-15:10::00,560.25
2018-11-15:11::00,424.02
2018-11-15:12::00,377.7
2018-11-15:13::00,402.87
2018-11-15:14::00,484.76
2018-11-15:15::00,442.1
2018-11-15:16::00,452.33
2018-11-15:17::00,445.69
2018-11-15:18::00,444.64
2018-11-15:19::00,441.68
2018-11-15:20::00,439.74
2018-11-15:21::00,430.2
2018-11-15:22::00,454.64
2018-11-15:23::00,465.7
2018-11-16:00::00,476.34
2018-11-16:01::00,499.37
2018-11-16:02::00,485.34
2018-11-16:03::00,56.88
