time,overall(hourly)
2018-11-07:00::00,121.59
2018-11-07:01::00,549.23
2018-11-07:02::00,547.52
2018-11-07:03::00,550.08
2018-11-07:04::00,525.55
2018-11-07:05::00,493.79
2018-11-07:06::00,484.46
2018-11-07:07::00,497.77
2018-11-07:08::00,467.76
2018-11-07:09::00,448.49
2018-11-07:10::00,477.94
2018-11-07:11::00,486.5
2018-11-07:12::00,490.68
2018-11-07:13::00,512.38
2018-11-07:14::00,473.94
2018-11-07:15::00,466.22
2018-11-07:16::00,466.47
2018-11-07:17::00,469.74
2018-11-07:18::00,470.48
2018-11-07:19::00,478.35
2018-11-07:20::00,458.12
2018-11-07:21::00,445.11
2018-11-07:22::00,499.25
2018-11-07:23::00,511.93
2018-11-08:00::00,539.62
2018-11-08:01::00,534.86
2018-11-08:02::00,549.87
2018-11-08:03::00,498.07
2018-11-08:04::00,532.27
2018-11-08:05::00,489.22
2018-11-08:06::00,513.97
2018-11-08:07::00,521.36
2018-11-08:08::00,447.0
2018-11-08:09::00,455.38
2018-11-08:10::00,479.05
2018-11-08:11::00,450.99
2018-11-08:12::00,462.93
2018-11-08:13::00,492.38
2018-11-08:14::00,483.49
2018-11-08:15::00,473.95
2018-11-08:16::00,466.97
2018-11-08:17::00,456.68
2018-11-08:18::00,455.06
2018-11-08:19::00,460.02
2018-11-08:20::00,469.9
2018-11-08:21::00,477.21
2018-11-08:22::00,492.36
2018-11-08:23::00,504.16
2018-11-09:00::00,516.67
2018-11-09:01::00,535.75
2018-11-09:02::00,512.39
2018-11-09:03::00,521.11
2018-11-09:04::00,523.76
2018-11-09:05::00,528.52
2018-11-09:06::00,535.02
2018-11-09:07::00,478.68
2018-11-09:08::00,464.79
2018-11-09:09::00,458.46
2018-11-09:10::00,476.7
2018-11-09:11::00,488.43
2018-11-09:12::00,494.61
2018-11-09:13::00,509.83
2018-11-09:14::00,488.96
2018-11-09:15::00,463.18
2018-11-09:16::00,459.46
2018-11-09:17::00,454.48
2018-11-09:18::00,454.93
2018-11-09:19::00,463.22
2018-11-09:20::00,453.89
2018-11-09:21::00,453.57
2018-11-09:22::00,483.32
2018-11-09:23::00,480.74
2018-11-10:00::00,523.45
2018-11-10:01::00,527.13
2018-11-10:02::00,519.29
2018-11-10:03::00,501.66
2018-11-10:04::00,503.44
2018-11-10:05::00,509.28
2018-11-10:06::00,468.51
2018-11-10:07::00,485.48
2018-11-10:08::00,445.38
2018-11-10:09::00,444.34
2018-11-10:10::00,456.52
2018-11-10:11::00,466.0
2018-11-10:12::00,460.9
2018-11-10:13::00,461.17
2018-11-10:14::00,467.26
2018-11-10:15::00,454.36
2018-11-10:16::00,447.1
2018-11-10:17::00,445.02
2018-11-10:18::00,445.67
2018-11-10:19::00,444.25
2018-11-10:20::00,451.33
2018-11-10:21::00,455.7
2018-11-10:22::00,479.06
2018-11-10:23::00,512.99
2018-11-11:00::00,536.28
2018-11-11:01::00,530.47
2018-11-11:02::00,530.45
2018-11-11:03::00,533.53
2018-11-11:04::00,526.24
2018-11-11:05::00,531.07
2018-11-11:06::00,506.97
2018-11-11:07::00,454.96
2018-11-11:08::00,427.89
2018-11-11:09::00,428.32
2018-11-11:10::00,457.86
2018-11-11:11::00,456.48
2018-11-11:12::00,477.75
2018-11-11:13::00,484.68
2018-11-11:14::00,465.68
2018-11-11:15::00,450.13
2018-11-11:16::00,454.48
2018-11-11:17::00,445.75
2018-11-11:18::00,444.12
2018-11-11:19::00,452.64
2018-11-11:20::00,440.64
2018-11-11:21::00,450.28
2018-11-11:22::00,482.6
2018-11-11:23::00,490.14
2018-11-12:00::00,524.77
2018-11-12:01::00,509.26
2018-11-12:02::00,533.71
2018-11-12:03::00,528.03
2018-11-12:04::00,517.36
2018-11-12:05::00,502.95
2018-11-12:06::00,511.05
2018-11-12:07::00,447.3
2018-11-12:08::00,439.98
2018-11-12:09::00,430.86
2018-11-12:10::00,459.79
2018-11-12:11::00,503.11
2018-11-12:12::00,478.11
2018-11-12:13::00,450.7
2018-11-12:14::00,486.07
2018-11-12:15::00,475.66
2018-11-12:16::00,474.78
2018-11-12:17::00,480.82
2018-11-12:18::00,476.94
2018-11-12:19::00,478.03
2018-11-12:20::00,486.67
2018-11-12:21::00,479.3
2018-11-12:22::00,492.1
2018-11-12:23::00,509.58
2018-11-13:00::00,529.2
2018-11-13:01::00,540.74
2018-11-13:02::00,546.13
2018-11-13:03::00,548.23
2018-11-13:04::00,541.48
2018-11-13:05::00,488.15
2018-11-13:06::00,479.73
2018-11-13:07::00,497.96
2018-11-13:08::00,474.25
2018-11-13:09::00,479.88
2018-11-13:10::00,494.87
2018-11-13:11::00,458.64
2018-11-13:12::00,470.73
2018-11-13:13::00,462.63
2018-11-13:14::00,462.3
2018-11-13:15::00,469.41
2018-11-13:16::00,475.29
2018-11-13:17::00,470.28
2018-11-13:18::00,479.15
2018-11-13:19::00,472.23
2018-11-13:20::00,472.04
2018-11-13:21::00,481.44
2018-11-13:22::00,497.07
2018-11-13:23::00,510.11
2018-11-14:00::00,534.84
2018-11-14:01::00,535.86
2018-11-14:02::00,534.92
2018-11-14:03::00,500.54
2018-11-14:04::00,522.68
2018-11-14:05::00,541.54
2018-11-14:06::00,537.29
2018-11-14:07::00,514.2
2018-11-14:08::00,483.8
2018-11-14:09::00,470.33
2018-11-14:10::00,487.27
2018-11-14:11::00,514.46
2018-11-14:12::00,484.17
2018-11-14:13::00,490.02
2018-11-14:14::00,483.36
2018-11-14:15::00,482.07
2018-11-14:16::00,484.49
2018-11-14:17::00,477.37
2018-11-14:18::00,479.74
2018-11-14:19::00,487.68
2018-11-14:20::00,480.59
2018-11-14:21::00,490.57
2018-11-14:22::00,495.89
2018-11-14:23::00,505.23
2018-11-15:00::00,538.46
2018-11-15:01::00,533.25
2018-11-15:02::00,548.39
2018-11-15:03::00,534.62
2018-11-15:04::00,498.29
2018-11-15:05::00,457.98
2018-11-15:06::00,460.39
2018-11-15:07::00,508.63
2018-11-15:08::00,462.42
2018-11-15:09::00,464.3
2018-11-15:10::00,482.92
2018-11-15:11::00,443.7
2018-11-15:12::00,429.89
2018-11-15:13::00,434.05
2018-11-15:14::00,448.23
2018-11-15:15::00,461.0
2018-11-15:16::00,474.38
2018-11-15:17::00,467.48
2018-11-15:18::00,469.73
2018-11-15:19::00,476.86
2018-11-15:20::00,467.56
2018-11-15:21::00,467.36
2018-11-15:22::00,494.15
2018-11-15:23::00,511.54
2018-11-16:00::00,530.75
2018-11-16:01::00,532.21
2018-11-16:02::00,471.63
